index,id,clustered_label,0,1,2,3
0,101208087.0,30,1,1,0,0
1,102205089.0,26,1,1,1,0
2,101208066.0,26,1,0,0,0
3,101208030.0,26,1,1,1,1
4,102208075.0,80,0,0,0,0
5,102205037.0,30,1,0,0,0
6,102104031.0,80,0,0,0,0
7,101208085.0,26,1,0,0,0
8,101208069.0,26,1,0,0,0
9,102208088.0,70,0,0,0,0
10,102208081.0,26,1,0,0,0
11,102208058.0,10,1,1,0,0
12,102208033.0,80,0,0,0,0
13,102208008.0,26,1,1,1,1
14,101208074.0,30,0,0,0,0
15,99203054.0,25,1,1,1,0
16,102209035.0,40,0,0,0,0
17,102208090.0,80,1,0,0,0
18,102208089.0,70,0,0,0,0
19,102208086.0,26,1,1,0,0
20,102208085.0,23,1,0,0,0
21,102208084.0,60,0,0,0,0
22,102208083.0,28,1,1,1,1
23,102208082.0,26,1,0,0,0
24,102208078.0,80,1,0,0,0
25,102208074.0,60,1,1,1,1
26,102208073.0,30,1,1,0,0
27,102208068.0,60,1,1,1,0
28,102208066.0,22,1,0,0,0
29,102208065.0,26,0,0,0,0
30,102208064.0,40,1,0,0,0
31,102208063.0,50,0,0,0,0
32,102208062.0,23,1,0,0,0
33,102208061.0,24,0,0,0,0
34,102208060.0,26,1,0,0,0
35,102208059.0,30,1,1,1,0
36,102208057.0,70,0,0,0,0
37,102208056.0,21,1,0,0,0
38,102208055.0,40,1,0,0,0
39,102208054.0,22,0,0,0,0
40,102208053.0,26,1,1,1,0
41,102208052.0,60,1,1,0,0
42,102208046.0,60,1,1,1,1
43,102208045.0,25,1,0,0,0
44,102208043.0,80,0,0,0,0
45,102208042.0,22,1,1,0,0
46,102208041.0,70,0,0,0,0
47,102208038.0,26,0,0,0,0
48,102208034.0,30,0,0,0,0
49,102208032.0,26,1,0,0,0
50,102208030.0,70,1,1,0,0
51,102208029.0,30,1,1,0,0
52,102208024.0,26,1,1,0,0
53,102208023.0,60,0,0,0,0
54,102208022.0,60,1,0,0,0
55,102208021.0,10,0,0,0,0
56,102208018.0,26,0,0,0,0
57,102208017.0,22,1,0,0,0
58,102208014.0,30,1,0,0,0
59,102208010.0,22,1,0,0,0
60,102208007.0,10,1,0,0,0
61,102208006.0,50,0,0,0,0
62,102208005.0,40,1,1,1,0
63,102208004.0,26,1,0,0,0
64,102208002.0,26,0,0,0,0
65,102208001.0,26,1,1,0,0
66,102205095.0,26,1,1,0,0
67,102205092.0,80,0,0,0,0
68,102205081.0,30,1,0,0,0
69,102205051.0,26,0,0,0,0
70,102205033.0,26,1,0,0,0
71,102205030.0,24,0,0,0,0
72,102205024.0,26,1,1,1,1
73,102205022.0,24,0,0,0,0
74,102205020.0,70,0,0,0,0
75,102205017.0,26,1,0,0,0
76,102103012.0,21,1,1,0,0
77,101502012.0,26,0,0,0,0
78,101401042.0,70,0,0,0,0
79,101209037.0,23,0,0,0,0
80,101208094.0,70,0,0,0,0
81,101208091.0,24,0,0,0,0
82,101208090.0,60,0,0,0,0
83,101208084.0,23,0,0,0,0
84,101208082.0,30,1,0,0,0
85,101208080.0,26,1,1,1,0
86,101208079.0,26,0,0,0,0
87,101208078.0,10,0,0,0,0
88,101208070.0,26,1,1,1,1
89,101208065.0,26,1,1,1,0
90,101208064.0,80,1,0,0,0
91,101208062.0,23,0,0,0,0
92,101208060.0,30,0,0,0,0
93,101208058.0,40,0,0,0,0
94,101208056.0,60,0,0,0,0
95,101208055.0,60,1,0,0,0
96,101208054.0,26,0,0,0,0
97,101208053.0,27,1,1,1,1
98,101208052.0,40,1,0,0,0
99,101208050.0,30,0,0,0,0
100,101208034.0,26,1,1,0,0
101,101208031.0,70,0,0,0,0
102,101208025.0,10,1,1,1,1
103,101208017.0,30,1,1,0,0
104,101208015.0,70,0,0,0,0
105,101208008.0,26,1,1,1,0
106,101208005.0,26,1,1,1,0
107,101208004.0,26,1,1,1,1
108,101208003.0,10,0,0,0,0
109,101208002.0,80,0,0,0,0
110,101205093.0,10,1,0,0,0
111,101205043.0,10,0,0,0,0
112,101205029.0,26,1,1,1,0
113,101204026.0,50,0,0,0,0
114,101203054.0,30,1,1,0,0
115,101103034.0,26,1,0,0,0
116,101102026.0,26,0,0,0,0
117,101102025.0,26,1,1,1,1
118,101101050.0,26,0,0,0,0
119,100508018.0,70,0,0,0,0
120,100401072.0,30,1,1,1,0
121,100401044.0,80,0,0,0,0
122,100206009.0,10,1,0,0,0
123,100202044.0,10,0,0,0,0
124,100104041.0,22,1,0,0,0
125,100101021.0,26,1,0,0,0
