0,1,2,clustered_label
6.0,4.0,4.0,644
6.0,5.0,1.0,651
5.0,4.0,5.0,545
4.0,4.0,5.0,445
2.0,0.0,1.0,201
8.0,6.0,3.0,863
5.0,6.0,3.0,563
7.0,6.0,1.0,761
5.0,5.0,1.0,551
3.0,3.0,4.0,334
6.0,5.0,1.0,651
7.0,6.0,0.0,760
1.0,4.0,0.0,140
6.0,5.0,1.0,651
6.0,4.0,2.0,642
2.0,3.0,3.0,233
6.0,1.0,4.0,614
7.0,2.0,2.0,722
7.0,9.0,0.0,790
5.0,5.0,0.0,550
5.0,6.0,3.0,563
7.0,6.0,2.0,762
4.0,5.0,2.0,452
1.0,3.0,3.0,133
5.0,5.0,4.0,554
1.0,0.0,3.0,103
9.0,5.0,2.0,952
7.0,6.0,4.0,764
6.0,5.0,0.0,650
1.0,3.0,3.0,133
5.0,2.0,3.0,523
2.0,1.0,1.0,211
5.0,3.0,2.0,532
5.0,5.0,0.0,550
6.0,5.0,2.0,652
8.0,7.0,5.0,875
3.0,3.0,2.0,332
5.0,6.0,2.0,562
7.0,3.0,3.0,733
6.0,10.0,2.0,6102
0.0,1.0,0.0,010
9.0,8.0,3.0,983
1.0,2.0,3.0,123
0.0,3.0,3.0,033
3.0,3.0,2.0,332
4.0,3.0,3.0,433
5.0,7.0,1.0,571
4.0,7.0,1.0,471
6.0,8.0,5.0,685
6.0,5.0,2.0,652
5.0,1.0,0.0,510
8.0,5.0,2.0,852
5.0,6.0,1.0,561
3.0,5.0,3.0,353
1.0,4.0,4.0,144
4.0,2.0,1.0,421
6.0,6.0,2.0,662
5.0,6.0,5.0,565
10.0,12.0,1.0,10121
1.0,2.0,1.0,121
8.0,4.0,1.0,841
4.0,3.0,2.0,432
4.0,3.0,2.0,432
6.0,7.0,3.0,673
2.0,4.0,2.0,242
6.0,6.0,3.0,663
5.0,5.0,3.0,553
7.0,8.0,0.0,780
3.0,5.0,2.0,352
5.0,7.0,4.0,574
0.0,5.0,1.0,051
5.0,4.0,0.0,540
4.0,6.0,4.0,464
7.0,5.0,1.0,751
4.0,10.0,0.0,4100
4.0,4.0,3.0,443
4.0,1.0,5.0,415
3.0,4.0,3.0,343
6.0,6.0,3.0,663
7.0,6.0,2.0,762
9.0,5.0,1.0,951
6.0,7.0,4.0,674
4.0,2.0,1.0,421
7.0,7.0,2.0,772
6.0,6.0,8.0,668
5.0,3.0,0.0,530
5.0,7.0,2.0,572
2.0,1.0,3.0,213
7.0,5.0,1.0,751
4.0,4.0,1.0,441
6.0,6.0,3.0,663
3.0,3.0,1.0,331
9.0,7.0,0.0,970
4.0,4.0,1.0,441
3.0,5.0,5.0,355
6.0,4.0,5.0,645
7.0,7.0,1.0,771
4.0,4.0,2.0,442
5.0,0.0,2.0,502
10.0,5.0,2.0,1052
6.0,5.0,0.0,650
5.0,7.0,2.0,572
3.0,2.0,1.0,321
7.0,7.0,1.0,771
3.0,1.0,0.0,310
5.0,5.0,2.0,552
6.0,5.0,4.0,654
6.0,5.0,0.0,650
6.0,4.0,3.0,643
7.0,4.0,0.0,740
4.0,5.0,2.0,452
4.0,5.0,1.0,451
5.0,5.0,2.0,552
6.0,4.0,1.0,641
4.0,3.0,4.0,434
5.0,5.0,2.0,552
5.0,8.0,0.0,580
2.0,5.0,2.0,252
4.0,5.0,2.0,452
8.0,7.0,2.0,872
7.0,2.0,3.0,723
4.0,1.0,4.0,414
5.0,4.0,1.0,541
6.0,7.0,0.0,670
1.0,0.0,1.0,101
5.0,5.0,4.0,554
