clustered_label,0,1,2,3
310.0,0.0,0.0,0.0,0.0
310.0,0.0,0.0,0.0,0.0
310.0,0.0,0.0,0.0,0.0
310.0,0.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
250.0,1.0,0.0,0.0,0.0
250.0,1.0,1.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0
,1.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,1.0,0.0,0.0,0.0
265.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,1.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,1.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,1.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,0.0,0.0,0.0,0.0
330.0,1.0,0.0,0.0,0.0
,1.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
250.0,1.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
,1.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
264.0,1.0,0.0,0.0,0.0
264.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
264.0,1.0,0.0,0.0,0.0
264.0,0.0,0.0,0.0,0.0
264.0,0.0,0.0,0.0,0.0
430.0,0.0,0.0,0.0,0.0
430.0,0.0,0.0,0.0,0.0
430.0,0.0,0.0,0.0,0.0
430.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
244.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0
213.0,,,,
216.0,,,,
216.0,,,,
243.0,,,,
213.0,,,,
213.0,,,,
213.0,,,,
213.0,,,,
213.0,,,,
216.0,,,,
216.0,,,,
440.0,,,,
