,cluster,mean,std
0,10000.0,0.07214,0.06814
1,20000.0,0.00308,0.00823
2,30000.0,0.33144,0.15863
3,40000.0,0.0886,0.08668
4,11000.0,0.08087,0.04674
5,12000.0,0.18343,0.10682
6,13000.0,0.04553,0.03526
7,14000.0,0.11674,0.08986
8,21000.0,0.02437,0.0189
9,22000.0,0.00137,0.00312
10,23000.0,0.01693,0.01389
11,24000.0,0.00338,0.00457
12,31000.0,0.45803,0.1919
13,32000.0,0.29675,0.1296
14,33000.0,0.26595,0.07346
15,34000.0,0.2841,0.1099
16,41000.0,0.4023,0.12838
17,42000.0,0.19552,0.054
18,43000.0,0.05906,0.03566
19,44000.0,0.05518,0.03936
20,13100.0,0.03923,0.02143
21,13200.0,0.03523,0.0184
22,13300.0,0.09855,0.04971
23,13400.0,0.09744,0.05729
24,21100.0,0.03126,0.00828
25,21200.0,0.0736,0.02101
26,21300.0,0.01175,0.00684
27,21400.0,0.02413,0.01455
28,22100.0,0.00055,0.00107
29,22200.0,0.00385,0.00315
30,22300.0,0.0123,0.00555
31,22400.0,0.00505,0.00454
32,23100.0,0.01129,0.0085
33,23200.0,0.03099,0.01701
34,23300.0,0.01404,0.01157
35,23400.0,0.02583,0.01464
36,31100.0,0.46846,0.07469
37,31200.0,0.71737,0.12586
38,31300.0,0.23505,0.10317
39,31400.0,0.35287,0.11636
40,32100.0,0.27634,0.06329
41,32200.0,0.19486,0.08731
42,32300.0,0.26995,0.07364
43,32400.0,0.52109,0.10613
44,34100.0,0.29121,0.08559
45,34200.0,0.2674,0.07154
46,34300.0,0.43506,0.04635
47,34400.0,0.25448,0.12863
48,42100.0,0.22172,0.05556
49,42200.0,0.19864,0.05869
50,42300.0,0.16815,0.06642
51,42400.0,0.18277,0.04285
52,43100.0,0.02962,0.02286
53,43200.0,0.04594,0.01958
54,43300.0,0.05993,0.02689
55,43400.0,0.10093,0.0251
56,44100.0,0.07188,0.02724
57,44200.0,0.05449,0.04154
58,44300.0,0.05251,0.03627
59,44400.0,0.03324,0.03407
60,21110.0,0.03496,0.00756
61,21120.0,0.02954,0.00804
62,21130.0,0.03056,0.00869
63,21140.0,0.02884,0.00699
64,21310.0,0.00978,0.00796
65,21320.0,0.01407,0.00523
66,21330.0,0.01451,0.00414
67,21340.0,0.00708,0.00728
68,21410.0,0.01191,0.00944
69,21420.0,0.01237,0.00986
70,21430.0,0.03508,0.00953
71,21440.0,0.03153,0.00926
72,22110.0,0.00114,0.00111
73,22120.0,0.00345,0.00139
74,22130.0,0.0013,0.0013
75,22140.0,0.00019,0.00036
76,22210.0,0.00606,0.00364
77,22220.0,0.00246,0.00324
78,22230.0,0.0031,0.00243
79,22240.0,0.00514,0.00244
80,22410.0,0.0095,0.00481
81,22420.0,0.00319,0.0025
82,22430.0,0.00314,0.00352
83,22440.0,0.00785,0.00498
84,22141.0,0.00035,0.00041
85,22142.0,7e-05,0.00013
86,22143.0,0.00031,0.00033
87,22144.0,0.00117,0.00039
