clustered_label,0,1,2,3,4
7300,1,1,1,1,1
7300,1,1,0,0,0
7300,1,0,0,0,0
7300,1,1,1,1,1
7300,1,1,1,0,0
7300,1,1,1,0,0
7300,1,1,1,1,0
7300,1,0,0,0,0
7300,0,0,0,0,0
7300,0,0,0,0,0
7300,1,1,0,0,0
7300,0,0,0,0,0
7300,1,1,0,0,0
7300,0,0,0,0,0
7300,0,0,0,0,0
7300,1,0,0,0,0
7300,0,0,0,0,0
7300,1,0,0,0,0
7300,1,0,0,0,0
8416,0,0,0,0,0
7400,0,0,0,0,0
7400,1,0,0,0,0
7400,0,0,0,0,0
7400,1,1,1,1,0
8416,1,0,0,0,0
7400,1,0,0,0,0
7400,1,1,1,1,0
7400,0,0,0,0,0
7400,0,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,1,1,1,0
7400,0,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,0,0,0,0,0
7400,1,0,0,0,0
7400,0,0,0,0,0
7400,1,0,0,0,0
7400,1,0,0,0,0
7400,0,0,0,0,0
7400,1,1,1,0,0
7400,1,1,1,0,0
7400,1,1,1,0,0
7400,1,1,1,1,1
7400,1,1,1,1,0
8416,1,0,0,0,0
8418,1,1,1,1,0
8418,0,0,0,0,0
7300,0,0,0,0,0
7300,1,1,1,1,0
7300,1,1,1,1,0
7300,1,1,1,1,0
7300,0,0,0,0,0
8414,1,0,0,0,0
8414,1,0,0,0,0
8100,1,1,1,1,0
8100,1,1,1,1,0
8416,1,0,0,0,0
8416,1,1,1,1,1
8100,1,1,0,0,0
8100,1,1,1,1,1
8100,1,1,0,0,0
8100,1,1,0,0,0
8100,1,1,1,1,0
8100,1,1,0,0,0
8100,1,1,1,0,0
7100,0,0,0,0,0
8416,1,1,1,1,1
8416,1,1,0,0,0
8920,1,1,0,0,0
8430,1,1,1,1,0
8430,1,1,1,1,0
8430,0,0,0,0,0
8430,0,0,0,0,0
8430,0,0,0,0,0
8430,0,0,0,0,0
8430,1,1,1,1,0
8430,0,0,0,0,0
8430,0,0,0,0,0
8430,0,0,0,0,0
8980,1,1,1,1,0
8940,1,1,1,1,0
8940,1,1,1,0,0
8980,1,1,1,1,0
8980,1,0,0,0,0
8980,0,0,0,0,0
8980,1,1,1,0,0
8980,1,0,0,0,0
8980,1,0,0,0,0
8940,0,0,0,0,0
8940,1,0,0,0,0
8920,1,0,0,0,0
6899,1,1,1,1,0
8959,1,0,0,0,0
8980,0,0,0,0,0
8980,0,0,0,0,0
6899,0,0,0,0,0
6700,1,1,1,1,0
6700,0,0,0,0,0
6829,0,0,0,0,0
7100,1,0,0,0,0
7100,1,1,0,0,0
6700,1,1,1,1,0
6700,0,0,0,0,0
8413,0,0,0,0,0
6400,0,0,0,0,0
6400,1,0,0,0,0
6400,1,1,1,1,0
6400,1,1,1,1,0
6400,1,1,1,1,0
7100,0,0,0,0,0
6400,1,1,1,1,0
6400,1,1,1,1,0
7100,0,0,0,0,0
7100,0,0,0,0,0
6400,1,1,1,0,0
6400,1,0,0,0,0
6400,0,0,0,0,0
6400,1,1,1,0,0
7100,0,0,0,0,0
6829,1,1,0,0,0
6400,0,0,0,0,0
6700,1,1,0,0,0
7100,1,1,0,0,0
6400,1,1,1,0,0
6829,1,0,0,0,0
6829,1,1,1,1,0
6400,1,1,1,1,0
6400,1,1,1,0,0
7100,1,1,1,0,0
6700,1,1,1,1,0
6820,1,1,1,0,0
7300,1,1,0,0,0
6400,1,1,1,1,0
6400,1,1,1,1,0
6400,0.69924812,0.443609023,0.345864662,0.255639098,0.030075188
8100,,,,,
6700,,,,,
6400,,,,,
6700,,,,,
6829,,,,,
6829,,,,,
6829,,,,,
6829,,,,,
6400,,,,,
6400,,,,,
6400,,,,,
6829,,,,,
6500,,,,,
8418,,,,,
8418,,,,,
8418,,,,,
8418,,,,,
7300,,,,,
8416,,,,,
8416,,,,,
7300,,,,,
8416,,,,,
7300,,,,,
7700,,,,,
6829,,,,,
7700,,,,,
7700,,,,,
7700,,,,,
8416,,,,,
8416,,,,,
8416,,,,,
8416,,,,,
8416,,,,,
8100,,,,,
8414,,,,,
8414,,,,,
8100,,,,,
8414,,,,,
8414,,,,,
8100,,,,,
8414,,,,,
6400,,,,,
8414,,,,,
8414,,,,,
8416,,,,,
8416,,,,,
8100,,,,,
8100,,,,,
8416,,,,,
8411,,,,,
8411,,,,,
8411,,,,,
8411,,,,,
6899,,,,,
8411,,,,,
8411,,,,,
