clustered_label,0,1,2
6200,0,0,0
6200,0,0,0
6200,0,0,0
6200,1,0,0
6200,0,0,0
6200,0,0,0
3429,0,0,0
3429,1,1,0
3429,1,0,0
6200,1,0,0
6200,1,0,0
6200,0,0,0
6200,1,0,0
6200,0,0,0
6200,0,0,0
3429,0,0,0
6200,1,0,0
6200,0,0,0
6200,0,0,0
3425,0,0,0
6500,0,0,0
6500,1,0,0
6500,1,0,0
6500,1,1,0
3425,1,1,1
6500,0,0,0
6500,0,0,0
6200,1,0,0
6500,0,0,0
6500,1,0,0
6500,0,0,0
6500,1,0,0
6500,0,0,0
6500,1,0,0
6500,0,0,0
6500,1,0,0
6500,1,0,0
6500,1,0,0
6500,1,1,0
6500,1,1,0
6500,1,0,0
6500,1,0,0
6500,1,0,0
6500,0,0,0
6500,1,0,0
6500,1,0,0
6500,0,0,0
6200,1,0,0
6500,0,0,0
6200,1,0,0
6500,1,0,0
6500,0,0,0
6500,1,0,0
3425,1,0,0
3429,1,0,0
3429,0,0,0
3429,1,1,0
6200,0,0,0
6200,1,0,0
3429,1,0,0
3429,1,1,0
3425,0,0,0
3425,1,0,0
3180,1,0,0
3429,1,0,0
3425,1,0,0
3425,0,0,0
3429,1,1,1
3180,0,0,0
3429,0,0,0
3180,0,0,0
3180,0,0,0
3180,0,0,0
3180,1,0,0
6400,1,1,0
3470,1,0,0
3470,1,0,0
3470,1,0,0
3470,1,0,0
3470,1,0,0
3470,1,0,0
3470,1,0,0
3470,1,1,0
3470,1,0,0
3470,1,0,0
3470,0,0,0
3470,0,0,0
3470,1,0,0
3879,0,0,0
3879,1,1,0
3850,1,1,0
3879,1,0,0
3879,0,0,0
3860,0,0,0
3879,1,0,0
3879,1,1,0
3879,1,0,0
3850,1,1,0
3850,1,1,0
3879,1,0,0
5500,0,0,0
3700,0,0,0
3879,0,0,0
3879,0,0,0
5500,0,0,0
5110,0,0,0
5110,0,0,0
5180,0,0,0
6400,0,0,0
6400,0,0,0
5110,1,0,0
5110,0,0,0
3421,1,1,0
5260,0,0,0
5260,0,0,0
7700,1,1,0
5260,0,0,0
7700,0,0,0
6400,1,1,0
5260,1,0,0
5260,0,0,0
6400,1,1,0
6400,0,0,0
5260,0,0,0
5260,1,0,0
7700,0,0,0
5260,0,0,0
6400,0,0,0
5180,0,0,0
5260,0,0,0
5110,0,0,0
6400,0,0,0
5260,1,0,0
5180,0,0,0
5180,0,0,0
5240,0,0,0
8500,1,0,0
6400,1,0,0
7500,0,0,0
5160,0,0,0
6200,1,0,0
5260,0,0,0
5260,0,0,0
5260,1,0,0
3180,0,0,0
5110,0,0,0
5260,0,0,0
5110,0,0,0
5180,0,0,0
5180,0,0,0
5180,0,0,0
8500,0,0,0
8700,1,0,0
7700,1,0,0
5260,1,1,1
5180,1,0,0
3180,1,0,0
3425,0,0,0
3429,1,0,0
3429,0,0,0
3429,0,0,0
3429,0,0,0
3425,0,0,0
3425,1,1,1
6200,1,1,1
3425,1,1,0
6200,1,1,0
6300,1,1,0
5180,0,0,0
6400,0,0,0
6400,1,0,0
6400,1,1,1
3425,0,0,0
3425,0,0,0
3425,0,0,0
3425,1,0,0
3425,1,1,1
3150,1,0,0
3425,0,0,0
3425,1,0,0
3429,1,0,0
3429,1,0,0
3429,0,0,0
3180,0.496240602,0.165413534,0.045112782
3429,,,
5260,,,
3429,,,
3429,,,
3425,,,
3425,,,
3180,,,
3180,,,
3425,,,
3427,,,
3427,,,
3427,,,
3427,,,
5600,,,
3427,,,
3427,,,
