id,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,semester_36
101208087,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4400,4640,77
102205089,4633,4633,4633,4633,4634,4633,4633,4634,4633,4633,4633,4633,4633,4635,4633,4633,4633,4633,66
101208066,4633,4260,4633,4633,4633,4633,4633,4633,4633,4100,4633,4634,4633,4633,4633,4634,4633,4633,97
101208030,4633,4631,4633,4633,4633,4633,4634,4633,4633,4633,4633,4632,4633,4633,4634,4633,4633,4633,99
102208075,4633,4633,4634,4633,3100,2100,4633,4634,4633,4633,2300,4633,4633,4633,4633,4633,4633,2500,92
102205037,4633,4633,4633,4633,2500,5100,4633,4633,4633,4633,4635,4633,4633,4633,4633,4633,4633,4633,53
102104031,6500,4260,5500,4632,1100,4633,4610,4634,6400,5400,4633,4633,4633,1100,4634,4100,4500,4636,72
101208085,4633,4633,4633,4633,4633,2600,4633,4633,4633,4633,2600,4633,4633,4633,4633,4633,4636,4633,68
101208069,5500,5100,5100,4660,2100,4610,2100,2100,4631,4633,4633,4633,4633,5100,4633,4633,4633,4633,89
102208088,4633,4660,6500,6600,4636,5100,4633,4633,4633,5500,4640,4633,4633,4633,4633,4633,1100,5500,86
102208081,4633,4633,4633,4633,2400,4633,4633,4633,4620,4634,4660,4633,4633,4633,4634,4633,4660,4633,53
102208058,4633,4633,4633,4633,4633,6100,4633,4633,4633,4633,4633,4632,4633,4633,4633,4632,4500,3100,82
102208033,4633,4633,4633,4633,3400,2500,4500,4633,4633,4500,3300,4633,4633,4633,4633,4633,4633,2400,64
102208008,4640,4636,4633,4640,4636,4633,4636,4636,4640,4500,4636,4633,4633,4633,4633,4633,4636,4633,97
101208074,4633,4634,4640,5100,2600,4500,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,53
99203054,4632,4634,4633,4633,4633,4634,4633,4633,4100,4620,4620,4634,4633,4633,4633,4633,4632,4633,99
102209035,4633,4633,4633,4633,4633,5200,4633,4634,4633,4634,1100,4634,4633,4634,4633,4634,6200,4633,68
102208090,4633,4633,4633,4620,3100,4610,4633,4633,4620,4100,4100,4633,4633,4620,4633,4634,4636,4633,87
102208089,4633,4633,4633,4633,4250,4500,4632,4634,4633,2400,2100,4633,4633,4633,4633,4633,3200,4633,74
102208086,4633,4633,4633,4620,4632,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,66
102208085,4633,4633,4633,4633,5100,4633,4633,4633,5100,2600,4400,4633,4633,4633,4633,4633,4633,4633,84
102208084,4633,4633,4260,4633,4633,4620,4633,4620,4633,3100,4660,4633,4633,4633,4633,4633,4400,2600,94
102208083,4633,4100,4633,6300,4400,4500,4635,3100,4500,4633,4100,4633,4633,3100,4633,4632,2400,4633,86
102208082,4633,4633,4636,4634,4640,4633,4633,4633,4633,4660,4633,4633,4633,4634,4100,4633,4640,4633,72
102208078,4633,4634,4633,4633,5500,5500,4633,4633,4500,4636,4633,4633,4633,4633,4633,4633,4260,4660,77
102208074,4633,4500,2100,4400,6100,4635,4633,4633,4633,3100,4633,4633,4100,4633,4633,4633,5600,4633,99
102208073,4633,4633,4633,4633,4636,4633,4640,4636,4634,4400,4633,4640,4633,4633,4633,4633,4633,4633,97
102208068,4633,4633,4633,4633,2100,4633,4633,4633,4633,3300,4633,4633,4633,4633,4633,4633,5600,4633,53
102208066,4631,4633,4634,4633,4400,4633,5100,4633,4633,2300,4633,4633,4633,4635,4634,4633,4400,4633,84
102208065,4633,4633,4634,4634,4634,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4610,91
102208064,4633,4633,4633,4633,4633,6200,4633,4500,4633,4633,3300,4633,4633,4633,4633,4633,4633,4633,74
102208063,4633,4100,4633,3100,5600,5100,4633,4633,4633,4633,4300,4633,4633,4633,4633,4633,4636,4640,89
102208062,4634,4620,4633,2400,5100,4633,4633,4633,4633,6100,4633,4633,4633,4633,4633,4633,4500,4633,89
102208061,4633,4632,4633,4633,4633,4631,4633,4633,4633,4260,4633,4633,4633,4633,4633,4633,4633,4634,97
102208060,4633,4633,4633,4632,4633,5100,4633,4633,4633,4633,5500,4633,4633,4633,4633,4633,4633,4100,82
102208059,4633,4640,4633,4633,2500,4500,4633,4633,4633,4100,4633,4633,4633,4635,2100,4634,4100,4634,53
102208057,4633,4635,4633,4633,2600,6400,4633,4633,4633,4660,4100,4633,4633,4660,4633,4633,3100,4633,53
102208056,4633,4633,4633,4634,5400,4633,4633,4633,4400,2400,4633,4633,4633,4633,4633,2100,2400,5100,82
102208055,4633,4100,4633,4640,4636,4500,4633,4633,4633,4100,3100,4633,4633,4633,4633,4633,4660,4633,74
102208054,4633,4633,4400,4400,4633,4400,4633,4633,4633,2400,4633,4633,4633,4633,4634,4100,2100,4633,86
102208053,4633,4633,4633,4633,2500,5100,4633,4632,4633,4633,5100,4633,4633,4633,4633,4660,4633,4633,53
102208052,2400,4633,2500,4633,2400,4633,4633,4633,4634,3200,4633,4633,4633,4634,4636,4633,2200,4633,86
102208046,4633,4620,4633,4620,3200,4633,4633,4633,4633,3100,2100,4632,4632,4632,4632,4636,3100,5100,74
102208045,4633,4500,4633,5100,4633,4633,4633,4400,4633,5100,4634,4633,4633,4633,4633,4633,4400,4500,98
102208043,4633,4100,4634,4633,5500,4633,4633,4633,4634,4633,4633,4636,4633,4633,4633,4633,4633,4633,96
102208042,4633,4633,4633,4633,4500,4633,4633,4633,4633,4400,4633,2400,4633,4633,4500,4633,4400,4636,60
102208041,4633,4633,4633,4633,2600,4100,4633,4634,4634,2500,4500,4633,4633,4633,4634,4633,3200,4500,53
102208038,4633,4633,4633,4633,4633,2600,4633,4633,4260,4400,4640,4633,4633,4633,4633,4633,4633,2100,64
102208034,4633,4634,4633,4633,4100,4633,4633,4633,4633,4100,4633,4633,4633,4633,4634,4633,5100,4660,87
102208032,4633,4633,4633,4633,4636,4500,4633,4633,4633,4632,2400,4633,4633,4633,4633,4633,4634,4634,68
102208030,4633,4400,4100,3100,4250,4633,4633,4633,4633,5600,4660,4633,4634,4633,2100,4100,3200,4633,99
102208029,4633,4620,4633,4633,4100,4633,4632,4633,4633,4633,4633,4633,4633,4634,4633,4633,4634,4633,87
102208024,4633,4633,4633,4633,4634,4100,4633,4633,4660,4633,4500,4633,4633,4633,2500,4633,4500,4636,99
102208023,4633,4633,4633,4633,4500,4400,4633,4633,5100,3300,6400,4633,4633,4633,4633,4633,4633,4500,99
102208022,4632,4634,4633,5500,3100,2400,4633,4633,4100,3200,4633,4634,4633,4633,4633,4633,3400,4633,87
102208021,4633,4633,4633,4633,4100,4100,4633,4633,4633,1400,4500,4633,4633,4633,4634,4633,4500,1600,94
102208018,4633,4634,4633,4633,4633,4660,4633,4633,4633,4633,4400,4633,4633,4634,4633,4633,4634,4633,96
102208017,4633,4633,4632,4633,4634,2100,4633,4260,4620,4634,4633,4633,4633,4633,4633,4633,2400,4633,83
102208014,4633,4634,4634,4633,4634,1100,4633,4650,4620,1100,5100,4633,4633,5100,4632,4633,5100,5500,84
102208010,2500,4400,4632,4633,4100,4300,4631,4634,4633,2400,4100,4633,4633,4634,4634,4633,4633,4633,84
102208007,4633,4633,4633,4633,4632,5400,4633,4633,4633,2400,5300,4633,4633,4633,4634,4633,4632,1400,94
102208006,4633,4633,4633,6100,4500,4633,4633,4633,4633,4636,4633,4631,4633,2600,4633,4633,4633,4500,96
102208005,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,3100,4633,4633,4633,4633,4633,4633,4633,74
102208004,4633,4620,2100,4633,5400,4400,4633,4633,4500,2100,4634,4633,4633,4633,4632,4633,4400,4500,84
102208002,4633,4633,4633,4633,2500,4633,4633,4633,4631,4620,4500,4633,4633,4620,4620,4633,4260,4633,53
102208001,4633,4633,4633,4633,4500,4500,4633,4633,5100,4500,4633,4633,4240,4633,4633,4633,4500,4633,66
102205095,4632,4632,4633,4632,4632,4633,4620,4633,4634,4632,4633,4633,4633,4634,4634,4633,4634,4633,81
102205092,4633,4631,4633,4633,3200,4640,4634,4620,4633,2600,4633,4633,4633,4633,4633,4633,2200,4633,86
102205081,5100,4500,5400,4633,4633,5100,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4640,96
102205051,4633,4100,4633,4633,2100,4500,4633,4620,4633,4500,5100,4633,4633,4620,4260,4633,4400,4633,53
102205033,4633,4633,2500,4636,4633,4633,4633,4633,4633,4633,5100,4633,4633,4633,4633,4632,4633,4633,99
102205030,4633,5400,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,96
102205024,4634,4633,4633,1400,4633,4100,4634,4635,4633,4633,4620,4634,4633,4633,4634,4634,4633,4633,95
102205022,4636,4633,4633,4500,4633,4633,4633,4633,4633,4633,4640,4633,4633,4633,4633,4633,4633,4633,72
102205020,4633,4640,4633,4633,4633,5100,4633,4633,4633,4632,5100,4633,4633,4633,4633,4633,2400,4633,86
102205017,4650,4631,4633,4634,4633,4633,4633,4633,4620,4633,4620,4633,4633,4634,4633,4633,4633,4633,99
102103012,4634,4633,4633,4633,4633,4633,4633,4632,4500,4633,4633,4633,4633,4633,4632,4633,4633,4633,99
101502012,4633,4633,4633,4634,4634,5100,4634,4633,4634,4634,4400,4633,4633,4633,4620,4633,4634,2500,67
101401042,4633,4633,4633,4633,2100,4633,4633,4633,4633,4632,2400,4633,4633,4633,4633,4633,3100,4633,74
101209037,4633,4400,4633,4634,4610,2200,4633,4633,4100,2500,2100,4632,4633,4400,4633,4633,2500,2400,92
101208094,4633,4634,4634,4633,2500,2600,4636,4633,4633,4660,4400,4633,4633,4633,4633,4633,3100,4400,76
101208091,4633,4633,4633,4633,4100,4633,4633,4633,4633,2100,4633,4633,4633,4633,4633,4633,4633,4633,84
101208090,4634,4634,4633,4634,5200,4633,4633,4631,4250,1200,4633,4633,4633,4633,4633,4633,4210,4633,84
101208084,4633,4633,4633,4633,4636,2100,4633,4633,4633,2600,4640,4633,4633,2100,4633,4500,2600,4633,74
101208082,4633,4400,4500,4500,4500,4400,4633,4620,4610,2500,5100,4633,4633,4633,4633,4633,2500,4400,84
101208080,4633,4633,4633,1100,4634,4650,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,95
101208079,4260,4610,4632,4631,4500,4633,4633,4640,4633,4500,4640,4633,4500,4633,4632,4633,2400,4631,86
101208078,4633,4633,4633,4633,2500,3300,4633,4633,4633,4633,3200,4633,4633,4633,4633,4633,4632,3100,53
101208070,4633,4634,4633,4633,4633,4633,4633,4632,4633,4633,4633,4610,4633,4620,4634,4633,4633,4640,99
101208065,4633,4620,4633,4633,4640,4633,4632,4633,4633,4640,4633,4633,4633,4634,4633,4633,4633,4633,99
101208064,4633,4633,4633,4632,3100,4400,4633,4633,4634,4633,2500,4633,4633,4640,4633,4633,2500,2100,65
101208062,4633,4633,4610,4633,4634,4500,4633,4633,4633,4300,4633,4633,4633,4632,4633,4633,4620,4260,82
101208060,4633,4633,4633,4633,2100,4640,4633,4633,4634,4633,4610,4633,4633,4634,4634,4632,4400,4620,53
101208058,4633,2400,4634,4633,4633,2300,4633,4633,4633,4634,3400,4633,4633,4633,4633,4633,4633,2100,64
101208056,4633,4633,4633,4633,3300,2600,4633,4633,4633,3400,2600,4633,4633,4633,4633,4633,3300,4633,68
101208055,4633,4633,4633,4633,2500,4636,4636,4634,4633,3100,4633,4633,4633,4633,4636,4633,6100,4635,53
101208054,4620,4633,4634,4634,4633,4400,4633,4632,4633,4633,2400,4633,4633,4633,4633,4633,4633,2500,65
101208053,4633,4631,4633,4632,4633,4400,4634,4620,4633,4634,4633,4633,4633,2400,1200,4633,4633,4633,99
101208052,4633,4634,4633,4633,4634,2600,4633,4634,4633,4633,3300,4632,4620,4634,4636,4633,4634,3200,64
101208050,4633,4633,4633,4260,4633,3100,4633,4633,4633,2400,5100,4633,4633,4633,4633,4633,4636,2500,64
101208034,4633,4633,4633,4633,4633,4633,4633,4634,4633,4500,4633,4633,2400,4632,4632,4633,4500,4633,96
101208031,4633,4633,4633,4633,4500,4500,4633,4633,4634,4636,4633,4633,4633,4634,4633,4633,3300,6500,33
101208025,4633,4633,3100,4633,4633,2600,4633,4633,4633,4633,2500,4633,4633,4633,4633,4633,4634,3300,65
101208017,4633,2400,4633,4633,4100,4631,4633,4634,4633,4400,2400,4633,4633,4650,4633,4633,4633,4400,74
101208015,4633,4633,4633,4633,4633,3100,4633,4633,4633,4633,2600,4633,4633,4633,4633,4633,3100,2500,64
101208008,4633,4633,4633,4633,4633,4633,4633,4633,4633,4640,4640,4633,4633,4633,4633,4633,4500,4400,91
101208005,4633,4633,4633,4633,2400,4636,4633,4633,4633,4633,4400,4633,4633,4633,4633,4633,4633,4633,53
101208004,4633,4633,4633,4633,4634,4633,4634,4633,4633,4633,2400,4250,4633,4633,4633,4633,4633,4633,74
101208003,4633,4633,4633,4633,4633,6500,4633,4633,4633,4633,4500,4633,4633,4633,4633,4633,4633,6200,56
101208002,4633,4633,4633,4633,3200,4500,4633,4633,4633,4633,2100,4633,4633,4633,4633,4633,4640,4633,74
101205093,4100,4633,4635,4100,4633,6400,4633,4633,4633,2400,4633,4633,4633,6100,4633,4633,4633,3100,84
101205043,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,4633,1200,67
101205029,4634,5100,4100,5100,5500,4500,4633,4633,4610,4100,4500,4633,4633,5100,4633,4100,4633,4610,96
101204026,4633,6500,4633,4634,4633,4633,4500,4633,4620,4500,4633,4620,4633,4633,4633,4633,4633,4633,96
101203054,4633,4633,4633,2100,4633,4632,4633,4632,4632,4100,4633,4620,4633,4633,4634,4636,4631,4500,95
101103034,4633,4633,4633,4633,2400,4633,4634,4633,4633,4633,4633,4634,4633,4634,4633,4633,4633,4633,53
101102026,4633,4633,4633,4620,4400,4633,4633,4620,4633,4633,4500,4633,4633,4633,4633,4633,4250,4633,77
101102025,4633,4634,4633,4400,2100,4633,4633,4634,4640,4632,4634,4634,4633,4400,4634,4634,4500,4633,53
101101050,4633,4633,4500,4610,4633,4633,4632,4633,4633,4620,4633,4620,4633,4620,4634,4633,4633,4633,97
100508018,4620,4400,2400,4633,4634,4400,4634,4633,4633,4633,4500,4633,4633,4632,4633,4620,3300,4633,99
100401072,4633,2100,4633,4633,4660,4633,3200,4633,4633,2600,4500,4633,4633,4633,4633,4633,4634,2400,94
100401044,4633,5100,4633,4636,1400,4633,4633,4633,4633,5100,4500,4633,4633,4633,4633,4633,6100,4500,53
100206009,4634,4633,4633,4633,2500,3100,4633,2600,3100,4500,4640,4633,4633,4633,4633,4633,4634,3200,87
100202044,4633,4633,4633,4500,4633,4260,4633,4633,4633,2100,4633,4633,4633,4620,4632,4633,4633,1100,94
100104041,4633,4631,4633,4634,4633,4633,4610,4633,4633,4632,4650,4633,4633,4634,4633,4634,2400,4633,86
100101021,4633,4632,4633,4634,4634,4633,4634,4634,4633,5100,4633,4633,4633,4634,4633,4633,4633,4633,99
